PID#,CHECK,NO#,STREET,ACCT#,TOTAL ASSESS,diff in value,Diff in assessment,TAXES,LAST YR,LAST YR TAXES,DIFF,%CHANGE,TAXES,AddressOne,AddressTwo
###,U29064108000,38,MAXWELL WOODS DRIVE,M1812R,"834,900.00",1.25%,"463,300.00","$9,184.00","371,600.00","$8,302.00",$882.00,11%,UP,"38 Maxwell Woods Drive Cape Elizabeth, ME 04107","'38 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064110000,34,MAXWELL WOODS DRIVE,M1814R,"819,200.00",1.25%,"455,900.00","$9,011.00","363,300.00","$8,116.00",$895.00,11%,UP,"34 Maxwell Woods Drive Cape Elizabeth, ME 04107","'34 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064104000,46,MAXWELL WOODS DRIVE,M1808R,"837,400.00",1.33%,"478,300.00","$8,936.00","359,100.00","$8,022.00",$914.00,11%,UP,"46 Maxwell Woods Drive Cape Elizabeth, ME 04107","'46 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064107000,40,MAXWELL WOODS DRIVE,M1811R,"825,400.00",1.27%,"462,100.00","$9,079.00","363,300.00","$8,116.00",$963.00,12%,UP,"40 Maxwell Woods Drive Cape Elizabeth, ME 04107","'40 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064109000,36,MAXWELL WOODS DRIVE,M1813R,"828,800.00",1.38%,"481,000.00","$8,776.00","347,800.00","$7,770.00","$1,006.00",13%,UP,"36 Maxwell Woods Drive Cape Elizabeth, ME 04107","'36 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064131000,15,MAXWELL WOODS DRIVE,M1835R,"847,500.00",1.36%,"488,400.00","$9,048.00","359,100.00","$8,022.00","$1,025.00",13%,UP,"15 Maxwell Woods Drive Cape Elizabeth, ME 04107","'15 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064101000,52,MAXWELL WOODS DRIVE,M1805R,"822,800.00",1.31%,"466,700.00","$9,051.00","356,100.00","$7,955.00","$1,096.00",14%,UP,"52 Maxwell Woods Drive Cape Elizabeth, ME 04107","'52 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064134000,21,MAXWELL WOODS DRIVE,M1838R,"862,400.00",1.32%,"490,800.00","$9,486.00","371,600.00","$8,302.00","$1,185.00",14%,UP,"21 Maxwell Woods Drive Cape Elizabeth, ME 04107","'21 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064118000,18,MAXWELL WOODS DRIVE,M1822R,"842,400.00",1.40%,"491,600.00","$8,991.00","350,800.00","$7,837.00","$1,155.00",15%,UP,"18 Maxwell Woods Drive Cape Elizabeth, ME 04107","'18 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064117000,20,MAXWELL WOODS DRIVE,M1821R,"840,000.00",1.41%,"491,000.00","$8,965.00","349,000.00","$7,797.00","$1,168.00",15%,UP,"20 Maxwell Woods Drive Cape Elizabeth, ME 04107","'20 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064129000,9,MAXWELL WOODS DRIVE,M1833R,"894,300.00",1.41%,"522,700.00","$9,837.00","371,600.00","$8,302.00","$1,536.00",18%,UP,"9 Maxwell Woods Drive Cape Elizabeth, ME 04107","'9 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064136000,35,MAXWELL WOODS DRIVE,M1840R,"876,900.00",1.50%,"526,100.00","$9,371.00","350,800.00","$7,837.00","$1,534.00",20%,UP,"35 Maxwell Woods Drive Cape Elizabeth, ME 04107","'35 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064115000,24,MAXWELL WOODS DRIVE,M1819R,"884,900.00",1.52%,"534,100.00","$9,459.00","350,800.00","$7,837.00","$1,622.00",21%,UP,"24 Maxwell Woods Drive Cape Elizabeth, ME 04107","'24 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064103000,48,MAXWELL WOODS DRIVE,M1807R,"953,100.00",1.45%,"564,300.00","$10,484.00","388,800.00","$8,686.00","$1,798.00",21%,UP,"48 Maxwell Woods Drive Cape Elizabeth, ME 04107","'48 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064137000,41,MAXWELL WOODS DRIVE,M1841R,"954,100.00",1.57%,"582,500.00","$10,220.00","371,600.00","$8,302.00","$1,919.00",23%,UP,"41 Maxwell Woods Drive Cape Elizabeth, ME 04107","'41 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U29064123000,8,MAXWELL WOODS DRIVE,M1827R,"933,800.00",1.63%,"579,400.00","$9,997.00","354,400.00","$7,917.00","$2,080.00",26%,UP,"8 Maxwell Woods Drive Cape Elizabeth, ME 04107","'8 Maxwell Woods Drive Cape Elizabeth, ME 04107',"
###,U49011000000,21,MCAULEY ROAD,B3365R,"743,100.00",0.60%,"278,300.00","$7,899.00","464,800.00","$10,384.00","-$2,485.00",-24%,DOWN,"21 Mcauley Road Cape Elizabeth, ME 04107","'21 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49010000000,23,MCAULEY ROAD,M1420R,"670,200.00",0.71%,"277,900.00","$7,097.00","392,300.00","$8,764.00","-$1,667.00",-19%,DOWN,"23 Mcauley Road Cape Elizabeth, ME 04107","'23 Mcauley Road Cape Elizabeth, ME 04107',"
800,U49019000000,34,MCAULEY ROAD,R1435R,"683,300.00",0.79%,"302,600.00","$7,241.00","380,700.00","$8,505.00","-$1,264.00",-15%,DOWN,"34 Mcauley Road Cape Elizabeth, ME 04107","'34 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49014000000,15,MCAULEY ROAD,C2860R,"626,700.00",0.74%,"265,800.00","$6,894.00","360,900.00","$8,063.00","-$1,169.00",-14%,DOWN,"15 Mcauley Road Cape Elizabeth, ME 04107","'15 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49006000000,35,MCAULEY ROAD,D0141R,"643,700.00",0.84%,"293,100.00","$6,806.00","350,600.00","$7,832.00","-$1,027.00",-13%,DOWN,"35 Mcauley Road Cape Elizabeth, ME 04107","'35 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49018000000,28,MCAULEY ROAD,O0365R,"600,300.00",0.86%,"276,900.00","$6,328.00","323,400.00","$7,225.00",-$896.00,-12%,DOWN,"28 Mcauley Road Cape Elizabeth, ME 04107","'28 Mcauley Road Cape Elizabeth, ME 04107',"
745,U49007000000,31,MCAULEY ROAD,V0012R,"782,800.00",0.89%,"368,100.00","$8,336.00","414,700.00","$9,264.00",-$929.00,-10%,DOWN,"31 Mcauley Road Cape Elizabeth, ME 04107","'31 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49003000000,47,MCAULEY ROAD,G0602R,"683,800.00",0.90%,"323,600.00","$7,247.00","360,200.00","$8,047.00",-$800.00,-10%,DOWN,"47 Mcauley Road Cape Elizabeth, ME 04107","'47 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49017000000,24,MCAULEY ROAD,S1340R,"587,900.00",0.87%,"273,400.00","$6,467.00","314,500.00","$7,026.00",-$559.00,-8%,DOWN,"24 Mcauley Road Cape Elizabeth, ME 04107","'24 Mcauley Road Cape Elizabeth, ME 04107',"
13,U49016000000,20,MCAULEY ROAD,N0034R,"716,600.00",0.95%,"348,800.00","$7,608.00","367,800.00","$8,217.00",-$609.00,-7%,DOWN,"20 Mcauley Road Cape Elizabeth, ME 04107","'20 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49002000000,46,MCAULEY ROAD,O0565R,"603,200.00",0.98%,"298,500.00","$6,360.00","304,700.00","$6,807.00",-$447.00,-7%,ABOUT SAME,"46 Mcauley Road Cape Elizabeth, ME 04107","'46 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49008000000,29,MCAULEY ROAD,L1443R,"696,000.00",1.02%,"350,700.00","$7,381.00","345,300.00","$7,714.00",-$333.00,-4%,ABOUT SAME,"29 Mcauley Road Cape Elizabeth, ME 04107","'29 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49013000000,17,MCAULEY ROAD,S1885R,"705,800.00",1.05%,"360,700.00","$7,489.00","345,100.00","$7,710.00",-$221.00,-3%,ABOUT SAME,"17 Mcauley Road Cape Elizabeth, ME 04107","'17 Mcauley Road Cape Elizabeth, ME 04107',"
672,U49015000000,16,MCAULEY ROAD,F0432R,"599,800.00",1.12%,"317,300.00","$6,323.00","282,500.00","$6,311.00",$12.00,0%,ABOUT SAME,"16 Mcauley Road Cape Elizabeth, ME 04107","'16 Mcauley Road Cape Elizabeth, ME 04107',"
352,U49012000000,19,MCAULEY ROAD,S1310R,"575,400.00",1.16%,"308,400.00","$6,054.00","267,000.00","$5,965.00",$90.00,2%,ABOUT SAME,"19 Mcauley Road Cape Elizabeth, ME 04107","'19 Mcauley Road Cape Elizabeth, ME 04107',"
580,U49005000000,39,MCAULEY ROAD,C2134R,"791,700.00",1.08%,"411,100.00","$8,709.00","380,600.00","$8,503.00",$206.00,2%,ABOUT SAME,"39 Mcauley Road Cape Elizabeth, ME 04107","'39 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49022000000,4,MCAULEY ROAD,B2696R,"576,100.00",1.18%,"311,700.00","$6,062.00","264,400.00","$5,907.00",$155.00,3%,ABOUT SAME,"4 Mcauley Road Cape Elizabeth, ME 04107","'4 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49027000000,7,MCAULEY ROAD,M2795R,"583,300.00",1.27%,"325,800.00","$6,141.00","257,500.00","$5,753.00",$389.00,7%,ABOUT SAME,"7 Mcauley Road Cape Elizabeth, ME 04107","'7 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49029000000,3,MCAULEY ROAD,M0041R,"595,200.00",1.27%,"333,500.00","$6,272.00","261,700.00","$5,846.00",$426.00,7%,ABOUT SAME,"3 Mcauley Road Cape Elizabeth, ME 04107","'3 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49021000000,2,MCAULEY ROAD,M0652R,"573,400.00",1.26%,"319,800.00","$6,307.00","253,600.00","$5,665.00",$642.00,11%,UP,"2 Mcauley Road Cape Elizabeth, ME 04107","'2 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49009000000,27,MCAULEY ROAD,F0744R,"556,900.00",1.42%,"326,700.00","$5,851.00","230,200.00","$5,143.00",$708.00,14%,UP,"27 Mcauley Road Cape Elizabeth, ME 04107","'27 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49023000000,6,MCAULEY ROAD,R1533R,"544,600.00",1.34%,"312,200.00","$5,991.00","232,400.00","$5,192.00",$799.00,15%,UP,"6 Mcauley Road Cape Elizabeth, ME 04107","'6 Mcauley Road Cape Elizabeth, ME 04107',"
###,U49024000000,8,MCAULEY ROAD,C1841R,"552,400.00",1.51%,"332,000.00","$5,801.00","220,400.00","$4,924.00",$878.00,18%,UP,"8 Mcauley Road Cape Elizabeth, ME 04107","'8 Mcauley Road Cape Elizabeth, ME 04107',"
840,U49028000000,5,MCAULEY ROAD,T9108R,"547,800.00",1.52%,"330,600.00","$6,026.00","217,200.00","$4,852.00","$1,174.00",24%,UP,"5 Mcauley Road Cape Elizabeth, ME 04107","'5 Mcauley Road Cape Elizabeth, ME 04107',"
943,U49025000000,12,MCAULEY ROAD,H1057R,"703,900.00",1.55%,"428,000.00","$7,743.00","275,900.00","$6,164.00","$1,579.00",26%,UP,"12 Mcauley Road Cape Elizabeth, ME 04107","'12 Mcauley Road Cape Elizabeth, ME 04107',"
###,U41018000000,36,MCKENNEY POINT ROAD,W1929R,"2,977,000.00",0.79%,"1,309,500.00","$32,747.00","1,667,500.00","$37,252.00","-$4,505.00",-12%,DOWN,"36 Mckenney Point Road Cape Elizabeth, ME 04107","'36 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41013000000,18,MCKENNEY POINT ROAD,O0193R,"3,664,300.00",0.82%,"1,654,500.00","$39,859.00","2,009,800.00","$44,899.00","-$5,040.00",-11%,DOWN,"18 Mckenney Point Road Cape Elizabeth, ME 04107","'18 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41014000000,20,MCKENNEY POINT ROAD,O0196R,"2,972,300.00",1.02%,"1,501,800.00","$32,695.00","1,470,500.00","$32,851.00",-$156.00,0%,ABOUT SAME,"20 Mckenney Point Road Cape Elizabeth, ME 04107","'20 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41007000000,1,MCKENNEY POINT ROAD,C0040R,"930,000.00",1.08%,"482,600.00","$9,955.00","447,400.00","$9,995.00",-$40.00,0%,ABOUT SAME,"1 Mckenney Point Road Cape Elizabeth, ME 04107","'1 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41016000000,28,MCKENNEY POINT ROAD,C1930R,"4,312,000.00",1.07%,"2,229,800.00","$47,432.00","2,082,200.00","$46,516.00",$916.00,2%,UP,"28 Mckenney Point Road Cape Elizabeth, ME 04107","'28 Mckenney Point Road Cape Elizabeth, ME 04107',"
607,U41011000000,2,MCKENNEY POINT ROAD,D0380R,"1,515,500.00",1.13%,"804,400.00","$16,396.00","711,100.00","$15,886.00",$510.00,3%,UP,"2 Mckenney Point Road Cape Elizabeth, ME 04107","'2 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41012C 000,10,MCKENNEY POINT ROAD,Y0015R,"1,514,700.00",1.21%,"829,500.00","$16,343.00","685,200.00","$15,307.00","$1,035.00",7%,UP,"10 Mckenney Point Road Cape Elizabeth, ME 04107","'10 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41015000000,24,MCKENNEY POINT ROAD,G0868R,"4,006,500.00",1.20%,"2,185,300.00","$43,797.00","1,821,200.00","$40,686.00","$3,111.00",8%,UP,"24 Mckenney Point Road Cape Elizabeth, ME 04107","'24 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41012000000,8,MCKENNEY POINT ROAD,O0194R,"1,006,300.00",1.24%,"557,700.00","$11,069.00","448,600.00","$10,022.00","$1,048.00",10%,UP,"8 Mckenney Point Road Cape Elizabeth, ME 04107","'8 Mckenney Point Road Cape Elizabeth, ME 04107',"
###,U41017000000,32,MCKENNEY POINT ROAD,B3251R,"5,667,800.00",1.82%,"3,656,100.00","$62,346.00","2,011,700.00","$44,941.00","$17,404.00",39%,UP,"32 Mckenney Point Road Cape Elizabeth, ME 04107","'32 Mckenney Point Road Cape Elizabeth, ME 04107',"
593,U21109000000,12,MEADOW WAY,S2891R,"525,800.00",1.25%,"292,000.00","$5,443.00","233,800.00","$5,223.00",$220.00,4%,ABOUT SAME,"12 Meadow Way Cape Elizabeth, ME 04107","'12 Meadow Way Cape Elizabeth, ME 04107',"
81,U21108000000,10,MEADOW WAY,C2000R,"470,100.00",1.41%,"275,400.00","$4,830.00","194,700.00","$4,350.00",$481.00,11%,ABOUT SAME,"10 Meadow Way Cape Elizabeth, ME 04107","'10 Meadow Way Cape Elizabeth, ME 04107',"
###,U21112000000,18,MEADOW WAY,R1273R,"493,000.00",1.37%,"284,600.00","$5,148.00","208,400.00","$4,656.00",$492.00,11%,ABOUT SAME,"18 Meadow Way Cape Elizabeth, ME 04107","'18 Meadow Way Cape Elizabeth, ME 04107',"
###,U21160000000,9,MEADOW WAY,G0934R,"493,600.00",1.38%,"285,900.00","$5,430.00","207,700.00","$4,640.00",$790.00,17%,UP,"9 Meadow Way Cape Elizabeth, ME 04107","'9 Meadow Way Cape Elizabeth, ME 04107',"
###,U21159000000,13,MEADOW WAY,K0887R,"494,800.00",1.53%,"299,000.00","$5,168.00","195,800.00","$4,374.00",$794.00,18%,UP,"13 Meadow Way Cape Elizabeth, ME 04107","'13 Meadow Way Cape Elizabeth, ME 04107',"
###,U21106000000,6,MEADOW WAY,B0011R,"455,900.00",1.42%,"267,800.00","$5,015.00","188,100.00","$4,202.00",$813.00,19%,UP,"6 Meadow Way Cape Elizabeth, ME 04107","'6 Meadow Way Cape Elizabeth, ME 04107',"
###,U21133000000,3,MEADOW WAY,G0915R,"450,500.00",1.58%,"276,100.00","$4,681.00","174,400.00","$3,896.00",$784.00,20%,UP,"3 Meadow Way Cape Elizabeth, ME 04107","'3 Meadow Way Cape Elizabeth, ME 04107',"
###,U21107000000,8,MEADOW WAY,D0863R,"457,900.00",1.59%,"280,800.00","$4,762.00","177,100.00","$3,956.00",$805.00,20%,UP,"8 Meadow Way Cape Elizabeth, ME 04107","'8 Meadow Way Cape Elizabeth, ME 04107',"
###,U21105000000,4,MEADOW WAY,O0300R,"425,100.00",1.65%,"264,700.00","$4,401.00","160,400.00","$3,583.00",$818.00,23%,UP,"4 Meadow Way Cape Elizabeth, ME 04107","'4 Meadow Way Cape Elizabeth, ME 04107',"
###,U21104000000,2,MEADOW WAY,M1047R,"477,500.00",1.63%,"295,900.00","$4,978.00","181,600.00","$4,057.00",$921.00,23%,UP,"2 Meadow Way Cape Elizabeth, ME 04107","'2 Meadow Way Cape Elizabeth, ME 04107',"
###,U21113000000,20,MEADOW WAY,G0078R,"460,000.00",1.71%,"290,200.00","$4,785.00","169,800.00","$3,793.00",$992.00,26%,UP,"20 Meadow Way Cape Elizabeth, ME 04107","'20 Meadow Way Cape Elizabeth, ME 04107',"
###,U21156000000,19,MEADOW WAY,S2970R,"448,500.00",1.73%,"284,200.00","$4,659.00","164,300.00","$3,670.00",$988.00,27%,UP,"19 Meadow Way Cape Elizabeth, ME 04107","'19 Meadow Way Cape Elizabeth, ME 04107',"
###,U21157000000,17,MEADOW WAY,D1876R,"480,100.00",1.73%,"304,400.00","$5,006.00","175,700.00","$3,925.00","$1,081.00",28%,UP,"17 Meadow Way Cape Elizabeth, ME 04107","'17 Meadow Way Cape Elizabeth, ME 04107',"
###,U21111000000,16,MEADOW WAY,M2120R,"478,700.00",1.60%,"294,700.00","$5,266.00","184,000.00","$4,111.00","$1,155.00",28%,UP,"16 Meadow Way Cape Elizabeth, ME 04107","'16 Meadow Way Cape Elizabeth, ME 04107',"
###,U21114000000,22,MEADOW WAY,R1315R,"529,300.00",1.67%,"331,200.00","$5,822.00","198,100.00","$4,426.00","$1,397.00",32%,UP,"22 Meadow Way Cape Elizabeth, ME 04107","'22 Meadow Way Cape Elizabeth, ME 04107',"
###,U21110000000,14,MEADOW WAY,L1590R,"461,800.00",1.92%,"303,700.00","$4,805.00","158,100.00","$3,532.00","$1,273.00",36%,UP,"14 Meadow Way Cape Elizabeth, ME 04107","'14 Meadow Way Cape Elizabeth, ME 04107',"
###,U21158000000,15,MEADOW WAY,J0541R,"458,400.00",1.93%,"302,000.00","$4,767.00","156,400.00","$3,494.00","$1,273.00",36%,UP,"15 Meadow Way Cape Elizabeth, ME 04107","'15 Meadow Way Cape Elizabeth, ME 04107',"
###,U21155000000,21,MEADOW WAY,K0802R,"464,100.00",1.77%,"296,600.00","$5,105.00","167,500.00","$3,742.00","$1,363.00",36%,UP,"21 Meadow Way Cape Elizabeth, ME 04107","'21 Meadow Way Cape Elizabeth, ME 04107',"
###,U21151000000,29,MEADOW WAY,R1490R,"465,100.00",1.96%,"307,900.00","$4,841.00","157,200.00","$3,512.00","$1,329.00",38%,UP,"29 Meadow Way Cape Elizabeth, ME 04107","'29 Meadow Way Cape Elizabeth, ME 04107',"
###,U21152000000,27,MEADOW WAY,T0390R,"513,800.00",1.99%,"341,900.00","$5,377.00","171,900.00","$3,840.00","$1,537.00",40%,UP,"27 Meadow Way Cape Elizabeth, ME 04107","'27 Meadow Way Cape Elizabeth, ME 04107',"
###,U21154000000,23,MEADOW WAY,C0435R,"429,400.00",2.15%,"293,000.00","$4,382.00","136,400.00","$3,047.00","$1,335.00",44%,UP,"23 Meadow Way Cape Elizabeth, ME 04107","'23 Meadow Way Cape Elizabeth, ME 04107',"
363,U21153000000,25,MEADOW WAY,D1700R,"448,300.00",2.25%,"310,400.00","$4,656.00","137,900.00","$3,081.00","$1,576.00",51%,UP,"25 Meadow Way Cape Elizabeth, ME 04107","'25 Meadow Way Cape Elizabeth, ME 04107',"
280,U21115000000,24,MEADOW WAY,A0671R,"443,300.00",2.28%,"308,100.00","$4,601.00","135,200.00","$3,020.00","$1,581.00",52%,UP,"24 Meadow Way Cape Elizabeth, ME 04107","'24 Meadow Way Cape Elizabeth, ME 04107',"
132,U31003004000,6,MEADOWVIEW LANE,E0186R,"787,800.00",0.71%,"328,300.00","$8,666.00","459,500.00","$10,265.00","-$1,599.00",-16%,DOWN,"6 Meadowview Lane Cape Elizabeth, ME 04107","'6 Meadowview Lane Cape Elizabeth, ME 04107',"
###,U31003005000,4,MEADOWVIEW LANE,G1150R,"777,600.00",0.80%,"346,600.00","$8,279.00","431,000.00","$9,629.00","-$1,350.00",-14%,DOWN,"4 Meadowview Lane Cape Elizabeth, ME 04107","'4 Meadowview Lane Cape Elizabeth, ME 04107',"
217,U31003002000,3,MEADOWVIEW LANE,I0091R,"874,900.00",0.97%,"430,600.00","$9,349.00","444,300.00","$9,926.00",-$577.00,-6%,DOWN,"3 Meadowview Lane Cape Elizabeth, ME 04107","'3 Meadowview Lane Cape Elizabeth, ME 04107',"
###,U31003001000,1,MEADOWVIEW LANE,O0476R,"651,700.00",0.99%,"324,800.00","$6,894.00","326,900.00","$7,303.00",-$409.00,-6%,ABOUT SAME,"1 Meadowview Lane Cape Elizabeth, ME 04107","'1 Meadowview Lane Cape Elizabeth, ME 04107',"
4,U31003006000,2,MEADOWVIEW LANE,B0724R,"760,000.00",1.16%,"407,500.00","$8,085.00","352,500.00","$7,875.00",$210.00,3%,ABOUT SAME,"2 Meadowview Lane Cape Elizabeth, ME 04107","'2 Meadowview Lane Cape Elizabeth, ME 04107',"
###,U31003003000,5,MEADOWVIEW LANE,F0070R,"952,500.00",1.17%,"513,800.00","$10,203.00","438,700.00","$9,801.00",$402.00,4%,ABOUT SAME,"5 Meadowview Lane Cape Elizabeth, ME 04107","'5 Meadowview Lane Cape Elizabeth, ME 04107',"
###,U30230000000,30,MERRIMAC PLACE,M0215R,"377,400.00",0.51%,"128,200.00","$3,876.00","249,200.00","$5,567.00","-$1,691.00",-30%,DOWN,"30 Merrimac Place Cape Elizabeth, ME 04107","'30 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30217000000,17,MERRIMAC PLACE,P1325R,"370,600.00",0.54%,"129,700.00","$4,077.00","240,900.00","$5,382.00","-$1,305.00",-24%,DOWN,"17 Merrimac Place Cape Elizabeth, ME 04107","'17 Merrimac Place Cape Elizabeth, ME 04107',"
282,U30227000000,27,MERRIMAC PLACE,M1414R,"424,100.00",0.68%,"171,100.00","$4,324.00","253,000.00","$5,652.00","-$1,328.00",-23%,DOWN,"27 Merrimac Place Cape Elizabeth, ME 04107","'27 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30216000000,16,MERRIMAC PLACE,B2938R,"353,200.00",0.56%,"126,300.00","$3,885.00","226,900.00","$5,069.00","-$1,184.00",-23%,DOWN,"16 Merrimac Place Cape Elizabeth, ME 04107","'16 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30222000000,22,MERRIMAC PLACE,S0225R,"362,200.00",0.70%,"149,000.00","$3,709.00","213,200.00","$4,763.00","-$1,054.00",-22%,DOWN,"22 Merrimac Place Cape Elizabeth, ME 04107","'22 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30223000000,23,MERRIMAC PLACE,P0287R,"443,100.00",0.61%,"167,200.00","$4,874.00","275,900.00","$6,164.00","-$1,290.00",-21%,DOWN,"23 Merrimac Place Cape Elizabeth, ME 04107","'23 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30220000000,20,MERRIMAC PLACE,D1257R,"409,000.00",0.72%,"170,900.00","$4,224.00","238,100.00","$5,319.00","-$1,095.00",-21%,DOWN,"20 Merrimac Place Cape Elizabeth, ME 04107","'20 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30224000000,24,MERRIMAC PLACE,A0713R,"414,200.00",0.73%,"174,300.00","$4,281.00","239,900.00","$5,359.00","-$1,078.00",-20%,DOWN,"24 Merrimac Place Cape Elizabeth, ME 04107","'24 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30225000000,25,MERRIMAC PLACE,V0111R,"347,700.00",0.74%,"148,200.00","$3,550.00","199,500.00","$4,457.00",-$907.00,-20%,DOWN,"25 Merrimac Place Cape Elizabeth, ME 04107","'25 Merrimac Place Cape Elizabeth, ME 04107',"
962,U30221000000,21,MERRIMAC PLACE,V0302R,"383,700.00",0.66%,"152,300.00","$4,221.00","231,400.00","$5,169.00",-$949.00,-18%,DOWN,"21 Merrimac Place Cape Elizabeth, ME 04107","'21 Merrimac Place Cape Elizabeth, ME 04107',"
46,U30228000000,28,MERRIMAC PLACE,G0986R,"378,700.00",0.68%,"153,700.00","$4,166.00","225,000.00","$5,027.00",-$861.00,-17%,DOWN,"28 Merrimac Place Cape Elizabeth, ME 04107","'28 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30226000000,26,MERRIMAC PLACE,B0056R,"389,000.00",0.90%,"184,600.00","$4,004.00","204,400.00","$4,566.00",-$562.00,-12%,DOWN,"26 Merrimac Place Cape Elizabeth, ME 04107","'26 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30219000000,19,MERRIMAC PLACE,D0824R,"347,100.00",0.91%,"164,900.00","$3,818.00","182,200.00","$4,070.00",-$252.00,-6%,ABOUT SAME,"19 Merrimac Place Cape Elizabeth, ME 04107","'19 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30218000000,18,MERRIMAC PLACE,D0116R,"326,300.00",1.06%,"167,800.00","$3,314.00","158,500.00","$3,541.00",-$227.00,-6%,ABOUT SAME,"18 Merrimac Place Cape Elizabeth, ME 04107","'18 Merrimac Place Cape Elizabeth, ME 04107',"
###,U30229000000,29,MERRIMAC PLACE,M0348R,"438,000.00",1.02%,"221,000.00","$4,818.00","217,000.00","$4,848.00",-$30.00,-1%,ABOUT SAME,"29 Merrimac Place Cape Elizabeth, ME 04107","'29 Merrimac Place Cape Elizabeth, ME 04107',"
###,U36034000000,4,MISTY LANE,I0055R,"1,103,600.00",1.65%,"687,300.00","$12,140.00","416,300.00","$9,300.00","$2,839.00",31%,UP,"4 Misty Lane Cape Elizabeth, ME 04107","'4 Misty Lane Cape Elizabeth, ME 04107',"
###,U36048000000,1,MISTY LANE,F1045R,"1,374,200.00",1.70%,"864,400.00","$15,116.00","509,800.00","$11,389.00","$3,727.00",33%,UP,"1 Misty Lane Cape Elizabeth, ME 04107","'1 Misty Lane Cape Elizabeth, ME 04107',"
###,U36047000000,3,MISTY LANE,C1295R,"829,400.00",1.89%,"542,900.00","$8,848.00","286,500.00","$6,400.00","$2,448.00",38%,UP,"3 Misty Lane Cape Elizabeth, ME 04107","'3 Misty Lane Cape Elizabeth, ME 04107',"
###,U36035000000,2,MISTY LANE,E0151R,"1,065,400.00",1.94%,"702,700.00","$11,444.00","362,700.00","$8,103.00","$3,342.00",41%,UP,"2 Misty Lane Cape Elizabeth, ME 04107","'2 Misty Lane Cape Elizabeth, ME 04107',"
###,U36045000000,7,MISTY LANE,G1174R,"1,150,300.00",2.05%,"773,700.00","$12,378.00","376,600.00","$8,413.00","$3,965.00",47%,UP,"7 Misty Lane Cape Elizabeth, ME 04107","'7 Misty Lane Cape Elizabeth, ME 04107',"
###,U36046000000,0,MISTY LANE,R0264R,"604,900.00",4.86%,"501,700.00","$6,654.00","103,200.00","$2,305.00","$4,348.00",189%,UP,"0 Misty Lane Cape Elizabeth, ME 04107","'0 Misty Lane Cape Elizabeth, ME 04107',"
###,U30022000000,450,MITCHELL ROAD,R0817R,"1,562,200.00",0.24%,"301,700.00","$17,184.00","1,260,500.00","$28,160.00","-$10,975.00",-39%,DOWN,"450 Mitchell Road Cape Elizabeth, ME 04107","'450 Mitchell Road Cape Elizabeth, ME 04107',"
