Address,Neighborhood,Value 23,Value 24,Tax 23,Tax 24
"22 Ram Island Farm Road Cape Elizabeth, ME 04107",R09,81800,456300,1827,5019
"22 Reef Road Cape Elizabeth, ME 04107",U13,1349200,2672900,30141,29402
"22 Ridge Road Cape Elizabeth, ME 04107",U27,174300,539200,3894,5656
"22 Salt Spray Lane Cape Elizabeth, ME 04107",U38,1258600,2766300,28117,30429
"22 Southwell Road Cape Elizabeth, ME 04107",U33,234500,509500,5239,5605
"22 State Avenue Cape Elizabeth, ME 04107",U28,146500,477700,3273,4980
"22 Stonegate Road Cape Elizabeth, ME 04107",U50,636500,1457700,14219,15760
"22 Tall Pine Road Cape Elizabeth, ME 04107",U23,280500,530900,6266,5565
"22 Tanager Lane Cape Elizabeth, ME 04107",R04,267000,725600,5965,7707
"22 Tiger Lily Lane Cape Elizabeth, ME 04107",U60,1008000,1923300,22519,20735
"22 Trundy Road Cape Elizabeth, ME 04107",U12,303400,728300,6778,7736
"22 Valley Road Cape Elizabeth, ME 04107",U27,343700,716600,7678,7883
"22 Westminster Terrace Cape Elizabeth, ME 04107",U29,299000,599900,6680,6599
"22 Wildwood Drive Cape Elizabeth, ME 04107",U24,258400,560400,5773,5889
"22 Wood Road Cape Elizabeth, ME 04107",U04,438300,1082900,9792,11637
"22 Woodcrest Road Cape Elizabeth, ME 04107",U04,304800,838800,6809,8833
"23 Angell Point Road Cape Elizabeth, ME 04107",U41,1384000,2649100,30919,29140
"23 Aster Lane Cape Elizabeth, ME 04107",U49,337300,850500,7535,9015
"23 Brentwood Road Cape Elizabeth, ME 04107",U35,308000,621500,6881,6837
"23 Broad Cove Road Cape Elizabeth, ME 04107",U36,337900,836100,7549,8922
"23 Cole Field Cape Elizabeth, ME 04107",U53,864300,1616200,19308,17778
"23 Columbus Road Cape Elizabeth, ME 04107",U32,279200,623400,6237,6857
"23 Cottage Farms Road Cape Elizabeth, ME 04107",U01,275400,755000,6152,8305
"23 Crescent View Ave Cape Elizabeth, ME 04107",U16,421000,887200,9405,9484
"23 Cross Hill Road Cape Elizabeth, ME 04107",U58,570600,1307000,12747,14102
"23 Deer Field Lane Cape Elizabeth, ME 04107",U32,596200,1230500,13319,13217
"23 Elmwood Road Cape Elizabeth, ME 04107",U03,264200,806500,5902,8597
"23 Fowler Road Cape Elizabeth, ME 04107",U20,298400,585600,6666,6167
"23 Hunts Point Road Cape Elizabeth, ME 04107",U38,438900,1123200,9805,12080
"23 Ivie Road Cape Elizabeth, ME 04107",U04,443400,1082400,9906,11631
"23 Jewett Road Cape Elizabeth, ME 04107",U19,193700,515900,4327,5400
"23 Kettle Cove Road Cape Elizabeth, ME 04107",U16,973100,2103700,21739,22866
"23 Littlejohn Road Cape Elizabeth, ME 04107",U06,452800,1052600,10116,11304
"23 Longfellow Drive Cape Elizabeth, ME 04107",U21,159600,461700,3565,4804
"23 Manter Street Cape Elizabeth, ME 04107",U33,365800,659600,8172,7256
"23 Mcauley Road Cape Elizabeth, ME 04107",U49,392300,670200,8764,7097
"23 Meadow Way Cape Elizabeth, ME 04107",U21,136400,429400,3047,4382
"23 Merrimac Place Cape Elizabeth, ME 04107",U30,275900,443100,6164,4874
"23 Oakview Drive Cape Elizabeth, ME 04107",U25,150400,339900,3360,3464
"23 Olde Colony Lane Cape Elizabeth, ME 04107",U09,434400,889100,9704,9505
"23 Olde Fort Road Cape Elizabeth, ME 04107",U06,326200,792300,7287,8374
"23 Orchard Road Cape Elizabeth, ME 04107",U21,193200,467200,4316,5139
"23 Park Circle Cape Elizabeth, ME 04107",U54,645300,1466700,14416,15859
"23 Peabbles Cove Road Cape Elizabeth, ME 04107",R03,1087500,2018400,24295,21927
"23 Philip Road Cape Elizabeth, ME 04107",U22,250000,600200,5585,6327
"23 Ridge Road Cape Elizabeth, ME 04107",U27,210000,552200,4691,5799
"23 Rock Crest Drive Cape Elizabeth, ME 04107",U57,763100,1866200,17048,20528
"23 Salt Spray Lane Cape Elizabeth, ME 04107",U38,542800,1430300,12126,15733
"23 Starboard Drive Cape Elizabeth, ME 04107",U45,126400,312800,2824,3166
"23 Stonegate Road Cape Elizabeth, ME 04107",U50,513800,1131300,11478,12103
"23 Tiger Lily Lane Cape Elizabeth, ME 04107",U60,751200,1758100,16782,19064
"23 Valley Road Cape Elizabeth, ME 04107",U27,329500,642900,7361,7072
"23 Waterhouse Road Cape Elizabeth, ME 04107",U29,484100,899900,10815,9624
"23 Westminster Terrace Cape Elizabeth, ME 04107",U29,417100,739700,9318,7862
"23 Wildwood Drive Cape Elizabeth, ME 04107",U24,287300,654700,6418,6927
"24 Brentwood Road Cape Elizabeth, ME 04107",U35,268800,574200,6005,6041
"24 Broad Cove Road Cape Elizabeth, ME 04107",U36,331500,978100,7406,10484
"24 Charles Road Cape Elizabeth, ME 04107",U01,215000,646500,4803,6837
"24 Cole Field Cape Elizabeth, ME 04107",U53,502100,1225600,11217,13207
"24 Columbus Road Cape Elizabeth, ME 04107",U32,254500,629700,5686,6927
"24 Cottage Farms Road Cape Elizabeth, ME 04107",U03,430200,1260600,9611,13592
"24 Cross Hill Road Cape Elizabeth, ME 04107",U58,579300,1247800,12942,13451
"24 Elephant Rock Road Cape Elizabeth, ME 04107",R02,657700,1683000,14693,18238
"24 Elmwood Road Cape Elizabeth, ME 04107",U03,207200,717500,4629,7618
"24 Farm Hill Road Cape Elizabeth, ME 04107",U21,150600,445700,3364,4903
"24 Farms Edge Road Cape Elizabeth, ME 04107",U53,576400,1503400,12877,16537
"24 Forest Road Cape Elizabeth, ME 04107",U03,456500,898500,10198,9884
"24 Gayfields Road Cape Elizabeth, ME 04107",R09,595000,1093200,13292,12026
"24 Heron Point Cape Elizabeth, ME 04107",R05,425400,1155000,9503,12342
"24 High View Road Cape Elizabeth, ME 04107",U42,300400,708600,6711,7520
"24 Hunts Point Road Cape Elizabeth, ME 04107",U38,368500,1102700,8232,11855
"24 Jewett Road Cape Elizabeth, ME 04107",U19,205700,578000,4595,6083
"24 Kettle Cove Road Cape Elizabeth, ME 04107",U16,249600,680400,5576,7484
"24 Littlejohn Road Cape Elizabeth, ME 04107",U06,363900,795200,8130,8472
"24 Longfellow Drive Cape Elizabeth, ME 04107",U21,161200,457200,3601,5029
"24 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,350800,884900,7837,9459
"24 Mcauley Road Cape Elizabeth, ME 04107",U49,314500,587900,7026,6467
"24 Mckenney Point Road Cape Elizabeth, ME 04107",U41,1821200,4006500,40686,43797
"24 Meadow Way Cape Elizabeth, ME 04107",U21,135200,443300,3020,4601
"24 Merrimac Place Cape Elizabeth, ME 04107",U30,239900,414200,5359,4281
"24 Monastery Road Cape Elizabeth, ME 04107",R09,1151800,1856200,25732,20418
"24 Oakview Drive Cape Elizabeth, ME 04107",U25,152700,343400,3411,3502
"24 Ocean Avenue Cape Elizabeth, ME 04107",U17,797000,1199200,17805,13191
"24 Ocean View Road Cape Elizabeth, ME 04107",U03,1041400,2188600,23264,23524
"24 Olde Fort Road Cape Elizabeth, ME 04107",U06,376600,919700,8413,9842
"24 Orchard Road Cape Elizabeth, ME 04107",U21,243800,532200,5446,5579
"24 Phoebes Way Cape Elizabeth, ME 04107",R04,319700,794500,7142,8465
"24 Pilot Point Road Cape Elizabeth, ME 04107",U12,436800,803700,9758,8566
"24 Ramble Road Cape Elizabeth, ME 04107",U23,249900,547100,5583,5743
"24 Ridge Road Cape Elizabeth, ME 04107",U27,225000,547100,5027,6018
"24 Rocky Hill Road Cape Elizabeth, ME 04107",U04,420700,1027700,9398,11030
"24 Salt Spray Lane Cape Elizabeth, ME 04107",U38,872400,2152200,19489,23674
"24 State Avenue Cape Elizabeth, ME 04107",U28,191100,515900,4269,5400
"24 Stonegate Road Cape Elizabeth, ME 04107",U50,791400,1588300,17680,17196
"24 Tanager Lane Cape Elizabeth, ME 04107",R04,279500,719800,6244,7918
"24 Trundy Road Cape Elizabeth, ME 04107",U12,469300,920700,10484,10128
"24 Two Lights Road Cape Elizabeth, ME 04107",U37,482000,1176800,10768,12670
"24 Vernon Road Cape Elizabeth, ME 04107",U19,189600,534700,4236,5607
"24 Waterhouse Road Cape Elizabeth, ME 04107",U29,380600,725900,8503,7710
"24 Westminster Terrace Cape Elizabeth, ME 04107",U29,368200,639200,8226,6756
"24 Wildwood Drive Cape Elizabeth, ME 04107",U24,269300,670100,6016,7096
"24 Wood Road Cape Elizabeth, ME 04107",U04,326700,979800,7298,10503
"24 Woodland Road Cape Elizabeth, ME 04107",U01,202500,720500,4524,7926
"25 Algonquin Road Cape Elizabeth, ME 04107",U12,1450000,3214900,32393,35364
"25 Aster Lane Cape Elizabeth, ME 04107",U49,206700,268500,4618,2954
"25 Beach Bluff Terrace Cape Elizabeth, ME 04107",U10,242300,692800,5413,7346
"25 Belfield Road Cape Elizabeth, ME 04107",U30,534400,1175600,11938,12657
"25 Broad Cove Road Cape Elizabeth, ME 04107",U36,435000,1096200,9718,11783
"25 Campion Road Cape Elizabeth, ME 04107",U33,265100,566800,5922,5960
"25 Cranbrook Drive Cape Elizabeth, ME 04107",U30,547800,1157400,12238,12456
"25 Crescent View Ave Cape Elizabeth, ME 04107",U16,414600,1120100,9262,11980
"25 Cross Hill Road Cape Elizabeth, ME 04107",U58,582100,1347700,13004,14825
"25 Davcarley Road Cape Elizabeth, ME 04107",U25,159900,526200,3572,5513
"25 Hunts Point Road Cape Elizabeth, ME 04107",U38,399500,1124300,8925,12092
"25 Jewett Road Cape Elizabeth, ME 04107",U19,212100,574600,4738,6046
"25 Killdeer Road Cape Elizabeth, ME 04107",U32,195900,268500,4376,2954
"25 Littlejohn Road Cape Elizabeth, ME 04107",U06,352100,870200,7866,9572
"25 Longfellow Drive Cape Elizabeth, ME 04107",U21,194200,546300,4338,5734
"25 Manter Street Cape Elizabeth, ME 04107",U33,412900,803100,9224,8559
"25 Maple Lane Cape Elizabeth, ME 04107",U23,294700,604000,6584,6644
"25 Meadow Way Cape Elizabeth, ME 04107",U21,137900,448300,3081,4656
"25 Merrimac Place Cape Elizabeth, ME 04107",U30,199500,347700,4457,3550
"25 Ocean Avenue Cape Elizabeth, ME 04107",U17,967100,1966300,21605,21629
"25 Old Ocean House Road Cape Elizabeth, ME 04107",R02,791500,1539400,17682,16658
"25 Olde Colony Lane Cape Elizabeth, ME 04107",U09,544600,841700,12166,9259
"25 Olde Fort Road Cape Elizabeth, ME 04107",U06,338100,782000,7553,8327
"25 Orchard Road Cape Elizabeth, ME 04107",U21,151300,447300,3380,4645
"25 Park Circle Cape Elizabeth, ME 04107",U54,728800,1923700,16281,20886
"25 Peabbles Cove Road Cape Elizabeth, ME 04107",R03,81000,426300,1810,4689
"25 Phoebes Way Cape Elizabeth, ME 04107",R04,276200,753800,6170,8017
"25 Pilot Point Road Cape Elizabeth, ME 04107",U12,1697900,3906800,37931,42700
"25 Ramble Road Cape Elizabeth, ME 04107",U23,216800,516700,4843,5409
"25 Ridge Road Cape Elizabeth, ME 04107",U27,215300,532700,4810,5585
"25 Rocky Hill Road Cape Elizabeth, ME 04107",U04,279300,752900,6240,8007
"25 Salt Spray Lane Cape Elizabeth, ME 04107",U38,644300,2011600,14394,21739
"25 Scott Dyer Road Cape Elizabeth, ME 04107",U22,221900,508500,4957,5286
"25 Starboard Drive Cape Elizabeth, ME 04107",U45,137400,305000,3070,3355
"25 Stonybrook Road Cape Elizabeth, ME 04107",U03,210900,773400,4712,8232
"25 Thrasher Road Cape Elizabeth, ME 04107",U32,227900,585500,5091,6166
"25 Trundy Road Cape Elizabeth, ME 04107",U12,321800,880600,7189,9687
"25 Vernon Road Cape Elizabeth, ME 04107",U19,214400,518400,4790,5427
"25 Westminster Terrace Cape Elizabeth, ME 04107",U29,370700,684800,8281,7258
"25 Wildwood Drive Cape Elizabeth, ME 04107",U24,287700,619300,6427,6537
"25 Woodcrest Road Cape Elizabeth, ME 04107",U04,298300,773600,6664,8235
"26 Algonquin Road Cape Elizabeth, ME 04107",U12,468500,763300,10466,8396
"26 Broad Cove Road Cape Elizabeth, ME 04107",U36,278100,854700,6213,9127
"26 Charles Road Cape Elizabeth, ME 04107",U01,505900,1127600,11302,12404
"26 Cliff Avenue Cape Elizabeth, ME 04107",U01,253300,764200,5659,8131
"26 Cross Hill Road Cape Elizabeth, ME 04107",U58,554800,1202300,12394,12950
"26 Elmwood Road Cape Elizabeth, ME 04107",U03,233200,753600,5210,8015
"26 Farm Hill Road Cape Elizabeth, ME 04107",U21,161700,194800,3612,1868
"26 Grover Road Cape Elizabeth, ME 04107",U20,570200,1128800,12738,12416
"26 Hannaford Cove Road Cape Elizabeth, ME 04107",U40,870200,1738800,19440,18576
"26 High View Road Cape Elizabeth, ME 04107",U42,252700,665000,5645,7040
"26 Hunts Point Road Cape Elizabeth, ME 04107",U38,377800,1063700,8440,11426
"26 Jewett Road Cape Elizabeth, ME 04107",U19,230700,529500,5154,5550
"26 Kettle Cove Road Cape Elizabeth, ME 04107",U16,344700,815400,7701,8969
"26 Longfellow Drive Cape Elizabeth, ME 04107",U21,204700,480800,4573,5014
"26 Magnolia Terrace Cape Elizabeth, ME 04107",R04,544800,967700,12171,10370
"26 Manter Street Cape Elizabeth, ME 04107",U33,519800,926800,11612,9920
"26 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,401900,887200,8978,9484
"26 Merrimac Place Cape Elizabeth, ME 04107",U30,204400,389000,4566,4004
"26 Oakhurst Road Cape Elizabeth, ME 04107",U04,592900,1174100,13245,12640
"26 Ocean View Road Cape Elizabeth, ME 04107",U03,536000,1536400,11974,16218
"26 Olde Fort Road Cape Elizabeth, ME 04107",U06,427700,944300,9555,10387
"26 Orchard Road Cape Elizabeth, ME 04107",U21,204800,562900,4575,5917
"26 Peabbles Cove Road Cape Elizabeth, ME 04107",R03,711100,2369400,15886,25788
"26 Phoebes Way Cape Elizabeth, ME 04107",R04,289300,801000,6463,8811
"26 Salt Spray Lane Cape Elizabeth, ME 04107",U38,1159900,2819700,25912,30742
"26 Starboard Drive Cape Elizabeth, ME 04107",U45,524500,777600,11717,
"26 State Avenue Cape Elizabeth, ME 04107",U28,147500,452900,3295,4707
"26 Stonegate Road Cape Elizabeth, ME 04107",U50,700000,1581700,15638,17124
"26 Stonybrook Road Cape Elizabeth, ME 04107",U03,318200,991700,7109,10634
"26 Tall Pine Road Cape Elizabeth, ME 04107",U23,320700,621900,7164,6500
"26 Thrasher Road Cape Elizabeth, ME 04107",U32,325800,633900,7278,6698
"26 Trundy Road Cape Elizabeth, ME 04107",U12,318400,763300,7113,8396
"26 Waterhouse Road Cape Elizabeth, ME 04107",U29,378100,749400,8447,7968
"26 Westminster Terrace Cape Elizabeth, ME 04107",U29,381900,787500,8532,8388
"26 Wildwood Drive Cape Elizabeth, ME 04107",U24,218100,615900,4872,6500
"26 Woodcrest Road Cape Elizabeth, ME 04107",U04,424500,1085700,9483,11943
"26 Woodland Road Cape Elizabeth, ME 04107",U01,238300,819600,5324,8741
"27 Algonquin Road Cape Elizabeth, ME 04107",U12,199100,102700,4448,1130
"27 Bowery Beach Road Cape Elizabeth, ME 04107",U17,232600,703400,5196,7462
"27 Brentwood Road Cape Elizabeth, ME 04107",U35,343600,634900,7676,6709
"27 Broad Cove Road Cape Elizabeth, ME 04107",U36,328000,822800,7328,8776
"27 Cheverus Road Cape Elizabeth, ME 04107",U49,323600,629700,7229,6652
"27 Cole Field Cape Elizabeth, ME 04107",U53,773800,1348500,17287,14834
"27 Cottage Farms Road Cape Elizabeth, ME 04107",U01,286700,803300,6405,8495
"27 Crescent View Ave Cape Elizabeth, ME 04107",U16,352400,772100,7873,8218
"27 Cross Hill Road Cape Elizabeth, ME 04107",U58,537000,1316300,11997,14204
"27 Elephant Rock Road Cape Elizabeth, ME 04107",R02,822700,1278800,18379,14067
"27 Farm Hill Road Cape Elizabeth, ME 04107",U21,182700,450400,4082,4679
"27 Forest Road Cape Elizabeth, ME 04107",U03,300200,732800,6706,7786
"27 Fowler Road Cape Elizabeth, ME 04107",U20,462200,1096400,10326,12060
"27 Hunts Point Road Cape Elizabeth, ME 04107",U38,482600,1162200,10781,12509
"27 Jewett Road Cape Elizabeth, ME 04107",U19,227700,544100,5087,5985
"27 Killdeer Road Cape Elizabeth, ME 04107",U32,346500,600200,7741,6602
"27 Lawson Road Cape Elizabeth, ME 04107",U08,1355100,3546600,30273,39013
"27 Littlejohn Road Cape Elizabeth, ME 04107",U06,382200,799600,8538,8521
"27 Longfellow Drive Cape Elizabeth, ME 04107",U21,138700,456600,3099,4748
"27 Mcauley Road Cape Elizabeth, ME 04107",U49,230200,556900,5143,5851
"27 Meadow Way Cape Elizabeth, ME 04107",U21,171900,513800,3840,5377
"27 Merrimac Place Cape Elizabeth, ME 04107",U30,253000,424100,5652,4324
"27 Murray Drive Cape Elizabeth, ME 04107",U22,348600,677500,7788,7453
"27 Olde Colony Lane Cape Elizabeth, ME 04107",U09,313900,773900,7013,8238
"27 Olde Fort Road Cape Elizabeth, ME 04107",U06,327100,779000,7307,8294
"27 Orchard Road Cape Elizabeth, ME 04107",U21,205000,496900,4580,5191
"27 Phoebes Way Cape Elizabeth, ME 04107",R04,272600,762300,6090,8110
"27 Pilot Point Road Cape Elizabeth, ME 04107",U12,1393100,2987200,31122,32859
"27 Reef Road Cape Elizabeth, ME 04107",U13,733600,1438900,16389,15828
"27 Rock Crest Drive Cape Elizabeth, ME 04107",U57,488900,1010200,10922,10837
"27 Rocky Hill Road Cape Elizabeth, ME 04107",U04,291700,794900,6517,8469
"27 Salt Spray Lane Cape Elizabeth, ME 04107",U38,439700,1842500,9823,20165
"27 Starboard Drive Cape Elizabeth, ME 04107",U45,137400,300800,3070,3309
"27 Stone Drive Cape Elizabeth, ME 04107",U01,184500,684800,4122,7258
"27 Stonegate Road Cape Elizabeth, ME 04107",U50,541600,1264900,12099,13545
"27 Surf Road Cape Elizabeth, ME 04107",U05,350400,1057600,7828,11634
"27 Trundy Road Cape Elizabeth, ME 04107",U12,371800,840200,8306,8967
"27 Valley Road Cape Elizabeth, ME 04107",U27,250600,559000,5598,6149
"27 Vernon Road Cape Elizabeth, ME 04107",U19,200800,541300,4486,5954
"27 Westminster Terrace Cape Elizabeth, ME 04107",U29,404800,788000,9043,8668
"27 Wildwood Drive Cape Elizabeth, ME 04107",U24,255600,629200,5710,6921
"27 Wood Road Cape Elizabeth, ME 04107",U04,507200,1076000,11331,11561
"27 Woodcrest Road Cape Elizabeth, ME 04107",U04,267600,749700,5978,7972
"28 Algonquin Road Cape Elizabeth, ME 04107",U12,1025200,2551600,22903,27793
"28 Aster Lane Cape Elizabeth, ME 04107",U49,324500,707700,7249,7510
"28 Beach Bluff Terrace Cape Elizabeth, ME 04107",U10,232300,647300,5190,7120
"28 Brentwood Road Cape Elizabeth, ME 04107",U35,272700,573400,6092,6307
"28 Broad Cove Road Cape Elizabeth, ME 04107",U36,381800,928700,8529,9941
"28 Campion Road Cape Elizabeth, ME 04107",U33,231400,513400,5169,5372
"28 Cliff Avenue Cape Elizabeth, ME 04107",U01,214600,710100,4794,7536
"28 Cole Field Cape Elizabeth, ME 04107",U53,619100,1206400,13831,12995
"28 Cranbrook Drive Cape Elizabeth, ME 04107",U30,563800,987500,12595,10588
"28 Cross Hill Road Cape Elizabeth, ME 04107",U58,625700,1349600,13978,14571
"28 Deer Field Lane Cape Elizabeth, ME 04107",U32,443100,1079800,9899,11519
"28 Eastman Road Cape Elizabeth, ME 04107",R04,374800,859100,8373,9175
"28 Farm Hill Road Cape Elizabeth, ME 04107",U21,156500,452900,3496,4707
"28 Forest Road Cape Elizabeth, ME 04107",U03,296700,741900,6628,7886
"28 Hunts Point Road Cape Elizabeth, ME 04107",U38,346800,392300,7748,4040
"28 Kettle Cove Road Cape Elizabeth, ME 04107",U16,259100,745700,5788,8203
"28 Longfellow Drive Cape Elizabeth, ME 04107",U21,167800,450400,3749,4679
"28 Manter Street Cape Elizabeth, ME 04107",U33,365700,580100,8170,6106
"28 Maple Lane Cape Elizabeth, ME 04107",U23,224500,499200,5015,5491
"28 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,417500,900600,9327,9907
"28 Mcauley Road Cape Elizabeth, ME 04107",U49,323400,600300,7225,6328
"28 Mckenney Point Road Cape Elizabeth, ME 04107",U41,2082200,4312000,46516,47432
"28 Merrimac Place Cape Elizabeth, ME 04107",U30,225000,378700,5027,4166
"28 Ocean Avenue Cape Elizabeth, ME 04107",U17,640900,1491700,14318,16409
"28 Ocean House Road Cape Elizabeth, ME 04107",U29,397000,1085600,8868,11392
"28 Olde Fort Road Cape Elizabeth, ME 04107",U06,383100,825300,8558,8803
"28 Peabbles Cove Road Cape Elizabeth, ME 04107",R03,477400,1762000,10665,19382
"28 Phoebes Way Cape Elizabeth, ME 04107",R04,278700,765000,6226,8140
"28 Ram Island Farm Road Cape Elizabeth, ME 04107",R09,1822400,3199400,40712,35194
"28 Ramble Road Cape Elizabeth, ME 04107",U23,334500,657000,7473,6952
"28 Reef Road Cape Elizabeth, ME 04107",U13,1258200,3012500,28108,33138
"28 Rock Crest Drive Cape Elizabeth, ME 04107",U57,673400,1333700,15044,14396
"28 Rocky Hill Road Cape Elizabeth, ME 04107",U04,413200,1038000,9231,11143
"28 Salt Spray Lane Cape Elizabeth, ME 04107",U38,1139300,2543400,25452,27977
"28 Southwell Road Cape Elizabeth, ME 04107",U33,230600,546700,5152,5739
"28 State Avenue Cape Elizabeth, ME 04107",U28,156600,436200,3498,4523
"28 Stone Drive Cape Elizabeth, ME 04107",U01,293200,951000,6550,10461
"28 Stonegate Road Cape Elizabeth, ME 04107",U50,522600,1220700,11675,13153
"28 Tall Pine Road Cape Elizabeth, ME 04107",U23,339900,668700,7593,7081
"28 Valley Road Cape Elizabeth, ME 04107",U27,237200,596500,5299,6287
"28 Vernon Road Cape Elizabeth, ME 04107",U19,300200,635800,6706,6994
"28 Waterhouse Road Cape Elizabeth, ME 04107",U29,350700,698400,7835,7407
"28 Westminster Terrace Cape Elizabeth, ME 04107",U29,316800,635300,7077,6988
"28 Wildwood Drive Cape Elizabeth, ME 04107",U24,341300,688900,7625,7578
"28 Wood Road Cape Elizabeth, ME 04107",U04,375200,915900,8382,9800
"28 Woodcrest Road Cape Elizabeth, ME 04107",U04,398700,873200,8907,9605
"28 Woodland Road Cape Elizabeth, ME 04107",U01,75400,324300,1684,3567
"29 Longfellow Drive Cape Elizabeth, ME 04107",U21,148900,457600,3326,4759
"30 Aster Lane Cape Elizabeth, ME 04107",U49,443800,874800,9914,9623
"30 Broad Cove Road Cape Elizabeth, ME 04107",U36,320200,866200,7153,9253
"30 Cheverus Road Cape Elizabeth, ME 04107",U49,442200,843300,9879,9001
"30 Cliff Avenue Cape Elizabeth, ME 04107",U01,376800,850400,8418,9079
"30 Eastfield Road Cape Elizabeth, ME 04107",U42,344700,721000,7701,7656
"30 Eastman Road Cape Elizabeth, ME 04107",R04,284600,579400,6358,6098
"30 Farm Hill Road Cape Elizabeth, ME 04107",U21,168700,461400,3769,5075
"30 Forest Road Cape Elizabeth, ME 04107",U03,456200,947100,10192,10418
"30 Fowler Road Cape Elizabeth, ME 04107",R02,524000,971200,11706,10375
"30 Grover Road Cape Elizabeth, ME 04107",U20,735600,1504600,16434,16550
"30 Hannaford Cove Road Cape Elizabeth, ME 04107",U40,978200,1606200,21852,17118
"30 Hunts Point Road Cape Elizabeth, ME 04107",U38,437400,1203500,9772,12964
"30 Kettle Cove Road Cape Elizabeth, ME 04107",U16,258100,737200,5766,7834
"30 Littlejohn Road Cape Elizabeth, ME 04107",U06,396000,856300,8847,9144
"30 Longfellow Drive Cape Elizabeth, ME 04107",U21,223400,523500,4991,5484
"30 Manter Street Cape Elizabeth, ME 04107",U33,330900,728100,7392,7734
"30 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,420100,873400,9385,9607
"30 Merrimac Place Cape Elizabeth, ME 04107",U30,249200,377400,5567,3876
"30 Oakhurst Road Cape Elizabeth, ME 04107",U04,212200,712500,4741,7838
"30 Ocean View Road Cape Elizabeth, ME 04107",U03,1184600,2015200,26464,22168
"30 Rams Head Road Cape Elizabeth, ME 04107",R09,2849700,6000400,63662,65729
"30 Reef Road Cape Elizabeth, ME 04107",U13,1436000,2979800,32080,32778
"30 Richmond Terrace Cape Elizabeth, ME 04107",U17,301400,1020200,6733,11222
"30 Rocky Hill Road Cape Elizabeth, ME 04107",U04,420300,892900,9390,9822
"30 Salt Spray Lane Cape Elizabeth, ME 04107",U38,1175300,2909200,26256,31726
"30 Shipwreck Cove Road Cape Elizabeth, ME 04107",R03,491300,1360100,10976,14686
"30 Stone Drive Cape Elizabeth, ME 04107",U01,176600,689100,3945,7305
"30 Stonybrook Road Cape Elizabeth, ME 04107",U03,463700,1220300,10359,13148
"30 Trundy Road Cape Elizabeth, ME 04107",U12,593800,1078700,13265,11866
"30 Valley Road Cape Elizabeth, ME 04107",U27,317100,682900,7084,7512
"30 Waterhouse Road Cape Elizabeth, ME 04107",U29,315300,691400,7044,7605
"30 Westminster Terrace Cape Elizabeth, ME 04107",U29,402500,788300,8992,8396
"30 Wildwood Drive Cape Elizabeth, ME 04107",U24,308800,686500,6899,7277
"31 Aster Lane Cape Elizabeth, ME 04107",U49,376100,790100,8402,8416
"31 Brentwood Road Cape Elizabeth, ME 04107",U35,262900,597700,5873,6575
"31 Broad Cove Road Cape Elizabeth, ME 04107",U36,356200,876700,7958,9369
"31 Concord Place Cape Elizabeth, ME 04107",U30,221100,352500,4939,3878
"31 Cottage Farms Road Cape Elizabeth, ME 04107",U01,300700,788700,6718,8676
"31 Crescent View Ave Cape Elizabeth, ME 04107",U16,308700,691900,6896,7611
"31 Cross Hill Road Cape Elizabeth, ME 04107",U59,472500,988700,10556,10601
"31 Davcarley Road Cape Elizabeth, ME 04107",U25,284300,595800,6351,6279
"31 Farm Hill Road Cape Elizabeth, ME 04107",U21,171800,450200,3838,4952
"31 Forest Road Cape Elizabeth, ME 04107",U03,493800,892000,11031,9537
"31 Fowler Road Cape Elizabeth, ME 04107",U20,117100,438300,2616,4821
"31 Grover Road Cape Elizabeth, ME 04107",U20,693000,1438600,15482,15824
"31 Hannaford Cove Road Cape Elizabeth, ME 04107",U40,2193400,3835000,49000,41096
"31 Hunts Point Road Cape Elizabeth, ME 04107",U38,446100,1134400,9966,12203
"31 Killdeer Road Cape Elizabeth, ME 04107",U32,271300,617800,6061,6521
"31 Lawson Road Cape Elizabeth, ME 04107",U08,1620500,4180800,36202,45989
"31 Longfellow Drive Cape Elizabeth, ME 04107",U21,170400,448700,3807,4936
"31 Manter Street Cape Elizabeth, ME 04107",U33,365000,874900,8154,9349
"31 Mcauley Road Cape Elizabeth, ME 04107",U49,414700,782800,9264,8336
"31 Oakhurst Road Cape Elizabeth, ME 04107",U04,329400,852000,7359,9097
"31 Old Mill Road Cape Elizabeth, ME 04107",R02,384200,1118600,8583,12305
"31 Olde Colony Lane Cape Elizabeth, ME 04107",U09,457100,806200,10212,8593
"31 Park Circle Cape Elizabeth, ME 04107",U54,626100,1628100,13987,17909
"31 Reef Road Cape Elizabeth, ME 04107",U13,618800,1350500,13824,14581
"31 Rock Crest Drive Cape Elizabeth, ME 04107",U57,820600,1755600,18332,19037
"31 Starboard Drive Cape Elizabeth, ME 04107",U45,124900,308500,2790,3119
"31 Trundy Road Cape Elizabeth, ME 04107",U12,299100,761000,6682,8371
"31 Valley Road Cape Elizabeth, ME 04107",U27,269100,557100,6012,6128
"31 Vernon Road Cape Elizabeth, ME 04107",U19,203400,525000,4544,5775
"31 Warren Avenue Cape Elizabeth, ME 04107",U01,337200,843800,7533,9007
